Thu Mar 16 23:58:23 CST 2017: 关闭链接：null2017-03-16 23:58:23--(0x235B4B56: nio socket, server, /127.0.0.1:20923 => 0.0.0.0/0.0.0.0:5442)
Thu Mar 16 23:58:40 CST 2017: 关闭链接：null2017-03-16 23:58:40--(0x32EF4037: nio socket, server, /127.0.0.1:20944 => 0.0.0.0/0.0.0.0:5442)
Thu Mar 16 23:59:24 CST 2017: 关闭链接：null2017-03-16 23:59:24--(0x5014DE69: nio socket, server, /127.0.0.1:20967 => 0.0.0.0/0.0.0.0:5442)
Fri Mar 17 00:00:29 CST 2017: 关闭链接：null2017-03-17 00:00:29--(0x4BBF48BA: nio socket, server, /127.0.0.1:20987 => 0.0.0.0/0.0.0.0:5442)
Fri Mar 17 00:01:33 CST 2017: 关闭链接：null2017-03-17 00:01:33--(0x276C9700: nio socket, server, /127.0.0.1:21010 => 0.0.0.0/0.0.0.0:5442)
Fri Mar 17 00:03:35 CST 2017: 关闭链接：null2017-03-17 00:03:35--(0x59FA547F: nio socket, server, /127.0.0.1:21033 => 0.0.0.0/0.0.0.0:5442)
Fri Mar 17 00:07:24 CST 2017: 关闭链接：null2017-03-17 00:07:24--(0x2E38F8E0: nio socket, server, /127.0.0.1:21121 => 0.0.0.0/0.0.0.0:4443)
Fri Mar 17 00:07:31 CST 2017: 关闭链接：null2017-03-17 00:07:31--(0x4F79AD8A: nio socket, server, /127.0.0.1:21169 => 0.0.0.0/0.0.0.0:4443)
Fri Mar 17 00:07:54 CST 2017: 关闭链接：null2017-03-17 00:07:54--(0x566A7513: nio socket, server, /127.0.0.1:21185 => 0.0.0.0/0.0.0.0:4443)
Fri Mar 17 00:08:34 CST 2017: 关闭链接：B302222017-03-17 00:08:34--(0x312A6688: nio socket, server, null => 0.0.0.0/0.0.0.0:4443)
Fri Mar 17 00:08:34 CST 2017: 发生异常关闭链接：B302222017-03-17 00:08:34--(0x312A6688: nio socket, server, null => 0.0.0.0/0.0.0.0:4443)
Fri Mar 17 00:08:34 CST 2017: 发生异常关闭链接：B302222017-03-17 00:08:34--(0x312A6688: nio socket, server, null => 0.0.0.0/0.0.0.0:4443)
Fri Mar 17 00:08:34 CST 2017: 发生异常关闭链接：B302222017-03-17 00:08:34--(0x312A6688: nio socket, server, null => 0.0.0.0/0.0.0.0:4443)
Fri Mar 17 00:08:34 CST 2017: 发生异常关闭链接：B302222017-03-17 00:08:34--(0x312A6688: nio socket, server, null => 0.0.0.0/0.0.0.0:4443)
Fri Mar 17 00:08:34 CST 2017: 发生异常关闭链接：B302222017-03-17 00:08:34--(0x312A6688: nio socket, server, null => 0.0.0.0/0.0.0.0:4443)
Fri Mar 17 00:08:34 CST 2017: 发生异常关闭链接：B302222017-03-17 00:08:34--(0x312A6688: nio socket, server, null => 0.0.0.0/0.0.0.0:4443)
Fri Mar 17 00:08:41 CST 2017: 超时关闭链接：null2017-03-17 00:08:41--(0x00E73881: nio socket, server, /127.0.0.1:21071 => /127.0.0.1:4443)
Fri Mar 17 00:08:41 CST 2017: 关闭链接：null2017-03-17 00:08:41--(0x00E73881: nio socket, server, /127.0.0.1:21071 => 0.0.0.0/0.0.0.0:4443)
Fri Mar 17 00:09:45 CST 2017: 重复连接关闭老的链接：B302222017-03-17 00:09:45--(0x294FD339: nio socket, server, /127.0.0.1:21251 => /127.0.0.1:4443)
Fri Mar 17 00:09:49 CST 2017: 超时关闭链接：null2017-03-17 00:09:49--(0x5920A3AC: nio socket, server, /127.0.0.1:21098 => /127.0.0.1:4443)
Fri Mar 17 00:09:49 CST 2017: 关闭链接：null2017-03-17 00:09:49--(0x5920A3AC: nio socket, server, null => 0.0.0.0/0.0.0.0:4443)
Fri Mar 17 00:10:05 CST 2017: 重复连接关闭老的链接：B302222017-03-17 00:10:05--(0x294FD339: nio socket, server, /127.0.0.1:21251 => /127.0.0.1:4443)
Fri Mar 17 00:10:07 CST 2017: 重复连接关闭老的链接：B302222017-03-17 00:10:07--(0x294FD339: nio socket, server, /127.0.0.1:21251 => /127.0.0.1:4443)
Fri Mar 17 00:10:08 CST 2017: 重复连接关闭老的链接：B302222017-03-17 00:10:08--(0x294FD339: nio socket, server, /127.0.0.1:21251 => /127.0.0.1:4443)
Fri Mar 17 00:10:10 CST 2017: 重复连接关闭老的链接：B302222017-03-17 00:10:10--(0x294FD339: nio socket, server, /127.0.0.1:21251 => /127.0.0.1:4443)
Fri Mar 17 00:11:09 CST 2017: 重复连接关闭老的链接：B302222017-03-17 00:11:09--(0x59D2B8CA: nio socket, server, /127.0.0.1:21277 => /127.0.0.1:4443)
Fri Mar 17 00:11:27 CST 2017: 重复连接关闭老的链接：B302222017-03-17 00:11:27--(0x59D2B8CA: nio socket, server, /127.0.0.1:21277 => /127.0.0.1:4443)
Fri Mar 17 00:11:29 CST 2017: 重复连接关闭老的链接：B302222017-03-17 00:11:28--(0x59D2B8CA: nio socket, server, /127.0.0.1:21277 => /127.0.0.1:4443)
Fri Mar 17 00:11:36 CST 2017: 重复连接关闭老的链接：B302222017-03-17 00:11:36--(0x59D2B8CA: nio socket, server, /127.0.0.1:21277 => /127.0.0.1:4443)
Fri Mar 17 00:11:38 CST 2017: 重复连接关闭老的链接：B302222017-03-17 00:11:38--(0x294FD339: nio socket, server, /127.0.0.1:21251 => /127.0.0.1:4443)
Fri Mar 17 00:11:51 CST 2017: 重复连接关闭老的链接：B302222017-03-17 00:11:51--(0x59D2B8CA: nio socket, server, /127.0.0.1:21277 => 0.0.0.0/0.0.0.0:4443)
Fri Mar 17 00:11:54 CST 2017: 重复连接关闭老的链接：B302222017-03-17 00:11:54--(0x59D2B8CA: nio socket, server, /127.0.0.1:21277 => 0.0.0.0/0.0.0.0:4443)
Fri Mar 17 07:26:22 CST 2017: 关闭链接：null2017-03-17 07:26:22--(0x1D1BC127: nio socket, server, /127.0.0.1:22549 => 0.0.0.0/0.0.0.0:4440)
Fri Mar 17 07:27:01 CST 2017: 关闭链接：null2017-03-17 07:27:01--(0x2F84BDB0: nio socket, server, /127.0.0.1:22604 => 0.0.0.0/0.0.0.0:4440)
Fri Mar 17 07:27:01 CST 2017: 发生异常关闭链接：null2017-03-17 07:27:01--(0x2F84BDB0: nio socket, server, /127.0.0.1:22604 => 0.0.0.0/0.0.0.0:4440)
Wed Mar 29 14:11:40 CST 2017: 发生异常关闭链接：null2017-03-29 14:11:40--(0x2CA12099: nio socket, server, /127.0.0.1:37725 => 0.0.0.0/0.0.0.0:8800)
Wed Mar 29 14:11:40 CST 2017: 关闭链接：null2017-03-29 14:11:40--(0x2CA12099: nio socket, server, /127.0.0.1:37725 => 0.0.0.0/0.0.0.0:8800)
Wed Mar 29 14:12:23 CST 2017: 关闭链接：null2017-03-29 14:12:23--(0x49A35F64: nio socket, server, /127.0.0.1:37763 => 0.0.0.0/0.0.0.0:8800)
Wed Mar 29 14:12:23 CST 2017: 发生异常关闭链接：null2017-03-29 14:12:23--(0x49A35F64: nio socket, server, /127.0.0.1:37763 => 0.0.0.0/0.0.0.0:8800)
Wed Mar 29 14:17:38 CST 2017: 车辆不存在关闭链接：null2017-03-29 14:17:38--(0x3D6C47E0: nio socket, server, /127.0.0.1:38023 => /127.0.0.1:8800)
Wed Mar 29 14:17:38 CST 2017: 关闭链接：null2017-03-29 14:17:38--(0x3D6C47E0: nio socket, server, /127.0.0.1:38023 => 0.0.0.0/0.0.0.0:8800)
Wed Mar 29 14:25:36 CST 2017: 车辆不存在关闭链接：null2017-03-29 14:25:36--(0x43FD1A33: nio socket, server, /127.0.0.1:38039 => /127.0.0.1:8800)
Wed Mar 29 14:25:36 CST 2017: 超时关闭链接：null2017-03-29 14:25:36--(0x43FD1A33: nio socket, server, /127.0.0.1:38039 => 0.0.0.0/0.0.0.0:8800)
Wed Mar 29 14:25:36 CST 2017: 关闭链接：null2017-03-29 14:25:36--(0x43FD1A33: nio socket, server, /127.0.0.1:38039 => 0.0.0.0/0.0.0.0:8800)
Wed Mar 29 14:25:50 CST 2017: 车辆不存在关闭链接：null2017-03-29 14:25:50--(0x05F128F2: nio socket, server, /127.0.0.1:38224 => /127.0.0.1:8800)
Wed Mar 29 14:25:50 CST 2017: 关闭链接：null2017-03-29 14:25:50--(0x05F128F2: nio socket, server, /127.0.0.1:38224 => 0.0.0.0/0.0.0.0:8800)
Wed Mar 29 14:26:54 CST 2017: 车辆不存在关闭链接：null2017-03-29 14:26:54--(0x4A45E2F6: nio socket, server, /127.0.0.1:38244 => /127.0.0.1:8800)
Wed Mar 29 14:26:54 CST 2017: 关闭链接：null2017-03-29 14:26:54--(0x4A45E2F6: nio socket, server, /127.0.0.1:38244 => 0.0.0.0/0.0.0.0:8800)
Wed Mar 29 14:29:10 CST 2017: 车辆不存在关闭链接：null2017-03-29 14:29:10--(0x3FA8A95D: nio socket, server, /127.0.0.1:38286 => /127.0.0.1:8800)
Wed Mar 29 14:29:10 CST 2017: 关闭链接：null2017-03-29 14:29:10--(0x3FA8A95D: nio socket, server, /127.0.0.1:38286 => 0.0.0.0/0.0.0.0:8800)
Wed Mar 29 14:29:52 CST 2017: 车辆不存在关闭链接：null2017-03-29 14:29:52--(0x500159F6: nio socket, server, /127.0.0.1:38364 => /127.0.0.1:8800)
Wed Mar 29 14:29:52 CST 2017: 关闭链接：null2017-03-29 14:29:52--(0x500159F6: nio socket, server, /127.0.0.1:38364 => 0.0.0.0/0.0.0.0:8800)
Wed Mar 29 14:51:08 CST 2017: 车辆不存在关闭链接：null2017-03-29 14:51:08--(0x7541009D: nio socket, server, /127.0.0.1:38853 => /127.0.0.1:8800)
Wed Mar 29 14:51:08 CST 2017: 关闭链接：null2017-03-29 14:51:08--(0x7541009D: nio socket, server, /127.0.0.1:38853 => 0.0.0.0/0.0.0.0:8800)
Wed Mar 29 14:51:20 CST 2017: 车辆不存在关闭链接：null2017-03-29 14:51:20--(0x3F9AAEB1: nio socket, server, /127.0.0.1:38868 => /127.0.0.1:8800)
Wed Mar 29 14:51:20 CST 2017: 关闭链接：null2017-03-29 14:51:20--(0x3F9AAEB1: nio socket, server, /127.0.0.1:38868 => 0.0.0.0/0.0.0.0:8800)
Wed Mar 29 14:51:20 CST 2017: 发生异常关闭链接：null2017-03-29 14:51:20--(0x3F9AAEB1: nio socket, server, /127.0.0.1:38868 => 0.0.0.0/0.0.0.0:8800)
Wed Mar 29 14:52:26 CST 2017: 车辆不存在关闭链接：null2017-03-29 14:52:25--(0x7146945C: nio socket, server, /127.0.0.1:39012 => /127.0.0.1:8800)
Wed Mar 29 14:54:22 CST 2017: 车辆不存在关闭链接：null2017-03-29 14:54:22--(0x52AA5C8B: nio socket, server, /127.0.0.1:39100 => /127.0.0.1:8800)
Wed Mar 29 14:54:29 CST 2017: 关闭链接：null2017-03-29 14:54:29--(0x52AA5C8B: nio socket, server, /127.0.0.1:39100 => 0.0.0.0/0.0.0.0:8800)
Wed Mar 29 14:54:29 CST 2017: 发生异常关闭链接：null2017-03-29 14:54:29--(0x52AA5C8B: nio socket, server, /127.0.0.1:39100 => 0.0.0.0/0.0.0.0:8800)
Wed Mar 29 14:57:27 CST 2017: 车辆不存在关闭链接：null2017-03-29 14:57:27--(0x08512D78: nio socket, server, /127.0.0.1:39190 => /127.0.0.1:8800)
Wed Mar 29 14:57:27 CST 2017: 关闭链接：null2017-03-29 14:57:27--(0x08512D78: nio socket, server, /127.0.0.1:39190 => 0.0.0.0/0.0.0.0:8800)
Wed Mar 29 14:57:27 CST 2017: 发生异常关闭链接：null2017-03-29 14:57:27--(0x08512D78: nio socket, server, /127.0.0.1:39190 => 0.0.0.0/0.0.0.0:8800)
Wed Mar 29 16:45:43 CST 2017: 车辆不存在关闭链接：null2017-03-29 16:45:43--(0x65CE8EE2: nio socket, server, /127.0.0.1:40643 => /127.0.0.1:18081)
Wed Mar 29 16:45:43 CST 2017: 发生异常关闭链接：null2017-03-29 16:45:43--(0x65CE8EE2: nio socket, server, /127.0.0.1:40643 => /127.0.0.1:18081)
Wed Mar 29 16:45:48 CST 2017: 关闭链接：null2017-03-29 16:45:48--(0x65CE8EE2: nio socket, server, /127.0.0.1:40643 => 0.0.0.0/0.0.0.0:18081)
Wed Mar 29 16:45:48 CST 2017: 车辆不存在关闭链接：null2017-03-29 16:45:48--(0x65CE8EE2: nio socket, server, /127.0.0.1:40643 => 0.0.0.0/0.0.0.0:18081)
Wed Mar 29 16:47:38 CST 2017: 车辆不存在关闭链接：null2017-03-29 16:47:38--(0x48A742BC: nio socket, server, /127.0.0.1:40790 => /127.0.0.1:18081)
Wed Mar 29 16:47:38 CST 2017: 发生异常关闭链接：null2017-03-29 16:47:38--(0x48A742BC: nio socket, server, /127.0.0.1:40790 => 0.0.0.0/0.0.0.0:18081)
Wed Mar 29 16:47:38 CST 2017: 关闭链接：null2017-03-29 16:47:38--(0x48A742BC: nio socket, server, /127.0.0.1:40790 => 0.0.0.0/0.0.0.0:18081)
Thu Mar 30 10:54:48 CST 2017: 车辆不存在关闭链接：null2017-03-30 10:54:48--(0x4B9AF87D: nio socket, server, /127.0.0.1:46098 => /127.0.0.1:18081)
Thu Mar 30 10:54:48 CST 2017: 关闭链接：null2017-03-30 10:54:48--(0x4B9AF87D: nio socket, server, /127.0.0.1:46098 => 0.0.0.0/0.0.0.0:18081)
Thu Mar 30 11:00:54 CST 2017: 超时关闭链接：B700862017-03-30 11:00:54--(0x74E5DBC9: nio socket, server, /127.0.0.1:46140 => /127.0.0.1:18081)
Thu Mar 30 11:00:54 CST 2017: 关闭链接：B700862017-03-30 11:00:54--(0x74E5DBC9: nio socket, server, /127.0.0.1:46140 => 0.0.0.0/0.0.0.0:18081)
Thu Mar 30 12:03:30 CST 2017: 超时关闭链接：B700862017-03-30 12:03:30--(0x4BB0C204: nio socket, server, /127.0.0.1:46200 => /127.0.0.1:18081)
